Date,Symbols,Close,High,Low,Open,Volume
2020-08-18,MRNA,67.03,69.7,65.23,68.28,11329150.0
2020-08-17,AMZN,159.12,159.748,157.709,158.656,53824740.0
2020-08-17,GOOGL,75.812,76.189,75.25,75.7985,19998680.0
2020-08-17,META,261.16,264.0973,259.4,262.5,13351062.0
2020-08-17,PFE,35.3806,35.4373,35.0078,35.0966,17990640.965341
2020-08-17,BNTX,69.5926,70.678,68.1564,68.4337,1966644.2326253
2020-08-17,MRNA,69.76,70.78,68.38,69.14,8749112.0
2020-08-14,AMZN,157.401,158.912,156.0,158.909,55034460.0
2020-08-14,GOOGL,75.2315,75.9892,74.95,75.6805,21941180.0
2020-08-14,META,261.24,262.65,258.6801,262.305,14792708.0
2020-08-14,PFE,35.1142,35.4176,34.9941,35.0673,13267330.9014
2020-08-14,BNTX,67.988,70.3058,67.3739,70.2562,1880239.4703146
2020-08-14,MRNA,69.15,70.36,67.86,68.06,12799582.0
2020-08-13,AMZN,158.051,160.876,157.75,159.15,62980860.0
2020-08-13,GOOGL,75.8325,76.8487,75.4105,75.4105,22394220.0
2020-08-13,META,261.3,265.16,259.57,261.55,17373970.0
2020-08-13,PFE,35.2147,35.2244,34.9473,35.122,15775248.507932
2020-08-13,BNTX,70.3256,70.8505,66.6645,67.6017,2413871.4620563
2020-08-13,MRNA,67.83,69.18,67.05,69.09,15055934.0
2020-08-12,AMZN,158.112,158.719,155.071,155.4,70544580.0
2020-08-12,GOOGL,75.362,75.5835,74.25,74.3562,22531200.0
2020-08-12,META,259.89,263.8973,258.1125,258.97,21428329.0
2020-08-12,PFE,35.3631,35.5661,34.8829,34.9025,20532367.043173
2020-08-12,BNTX,68.4535,70.484,65.4919,70.2166,3284799.4419489
2020-08-12,MRNA,69.52,75.75,68.3,75.67,50471491.0
2020-08-11,AMZN,154.034,157.961,153.65,155.66,74361140.0
2020-08-11,GOOGL,74.027,75.522,73.9095,74.7,31097060.0
2020-08-11,META,256.13,265.915,255.13,260.185,28238283.0
2020-08-11,PFE,34.8634,35.5924,34.758,35.5748,21932050.461146
